transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,dataset_source
T4999,U018,2023-04-25,0,24,3888.0,38,0,,primary
T12828,U133,2021-04-16,0,127,649.0,49,4,,primary
T7403,U091,2021-04-16,1,69,13239.0,42,1,,primary
T12350,U097,2021-04-16,0,67,6299.0,18,0,,primary
T7495,U088,2021-04-16,0,42,2287.0,38,4,,primary
T12465,U042,2021-04-16,0,67,4168.0,49,10,,primary
T4518,U026,2021-04-16,0,24,828.0,38,7,,primary
T9824,U061,2024-12-12,1,141,62061.0,38,0,,primary
T0741,U053,2021-04-16,0,195,5070.0,55,6,,primary
T12403,U004,2021-04-16,1,113,59543.0,55,7,,primary
T5282,U016,2022-04-15,0,195,140759.86999999106,38,3,,primary
T6861,U112,2021-04-18,0,195,4262.0,55,0,,primary
T9446,U006,2021-04-16,0,195,5767.0,18,1,,primary
T3016,U099,2021-04-16,0,127,23760.0,38,1,,primary
T11564,U148,2021-04-16,0,67,898.0,55,7,,primary
T11382,U111,2021-04-16,1,69,25143.0,38,2,,primary
T3133,U024,2021-04-16,0,127,9567.0,18,9,,primary
T1982,U089,2021-02-27,1,113,49683.0,49,7,,primary
T7154,U039,2021-04-16,0,67,222.0,55,1,,primary
T2699,U092,2021-04-16,0,175,2553.0,55,7,,primary
T5774,U005,2021-02-14,0,67,7406.0,38,1,,primary
T12850,U076,2021-04-16,0,127,3010.0,55,6,,primary
T5770,U107,2021-04-16,0,73,4846.0,42,2,,primary
T6195,U038,2021-04-16,1,141,140759.86999999106,18,5,,primary
T12096,U075,2021-04-16,0,67,4452.0,38,1,,primary
T5731,U027,2023-02-04,0,67,2206.0,18,10,,primary
T0909,U013,2024-04-20,0,42,7038.0,38,5,,primary
T7565,U075,2021-04-16,0,175,4286.0,18,4,,primary
T1653,U099,2024-12-16,0,24,8119.0,38,4,,primary
T6239,U150,2021-04-16,0,24,4189.0,38,1,,primary
T2849,U150,2022-10-10,1,77,19947.0,18,7,,primary
T3127,U023,2021-05-22,0,67,2325.0,55,10,,primary
T4949,U101,2021-04-16,0,67,3865.0,18,5,,primary
T3563,U007,2021-04-16,0,175,2407.0,38,2,,primary
T10891,U055,2021-04-16,0,67,3085.0,38,5,,primary
T10872,U080,2023-02-22,0,73,5252.0,49,3,,primary
T6786,U017,2021-04-16,0,127,2325.0,18,4,,primary
T3396,U136,2021-04-16,0,127,7619.0,42,9,,primary
T1215,U150,2021-04-16,0,113,4823.0,42,0,,primary
T5293,U044,2021-04-16,0,73,8497.0,49,6,,primary
T12220,U122,2021-04-16,0,67,140759.86999999106,55,7,,primary
T2003,U149,2021-04-16,0,175,8241.0,55,10,,primary
T9452,U062,2021-04-16,0,127,8579.0,18,0,,primary
T4924,U082,2021-04-16,0,67,235.0,38,2,,primary
T11911,U069,2021-04-16,0,67,1263.0,55,7,,primary
T11270,U022,2023-08-09,0,73,2134.0,18,5,,primary
T13032,U150,2021-04-16,0,24,2228.0,42,3,,primary
T6095,U110,2024-01-11,0,127,2325.0,18,3,,primary
T0361,U055,2023-08-16,0,195,1081.0,38,9,,primary
T7314,U103,2021-04-16,0,42,371.0,42,8,,primary
T11430,U108,2021-04-16,0,67,225.0,38,9,,primary
T12663,U052,2021-04-16,0,127,23776.0,55,1,,primary
T6106,U008,2021-04-16,0,73,6707.0,38,3,,primary
T9628,U096,2021-04-16,0,67,8380.0,18,4,,primary
T1623,U017,2021-04-16,0,195,601.0,18,5,,primary
T13765,U034,2021-04-16,0,113,3219.0,42,4,,primary
T10347,U017,2021-04-16,0,127,8182.0,42,10,,primary
T5930,U011,2021-04-16,0,151,8111.0,49,3,,primary
T1627,U069,2021-04-16,0,195,5554.0,18,4,,primary
T4242,U053,2024-08-15,1,141,41573.0,18,8,,primary
T12437,U004,2021-04-16,0,19,3110.0,18,2,,primary
T8670,U030,2021-04-16,0,67,4277.0,38,9,,primary
T11341,U127,2021-04-16,0,67,3047.0,38,8,,primary
T9556,U008,2024-06-27,1,69,10183.0,49,3,,primary
T2449,U028,2021-04-16,0,175,9888.0,18,3,,primary
T4357,U088,2021-04-16,0,127,7217.0,42,3,,primary
T0815,U141,2021-10-05,0,24,9725.0,18,2,,primary
T7919,U086,2023-05-27,0,42,9648.0,18,6,,primary
T5695,U061,2023-10-22,0,175,1643.0,38,8,,primary
T2471,U066,2021-04-16,0,24,2325.0,42,3,,primary
T3475,U046,2022-12-10,1,69,70075.0,55,6,,primary
T5875,U081,2021-10-31,0,67,864.0,18,8,,primary
T10128,U104,2024-09-06,0,78,6228.0,42,4,,primary
T3491,U061,2021-04-16,0,24,1206.0,42,0,,primary
T2225,U028,2023-07-06,0,24,8204.0,38,10,,primary
T6946,U068,2021-04-16,0,19,5756.0,55,4,,primary
T2022,U056,2021-04-16,0,67,5576.0,18,3,,primary
T13529,U123,2021-11-05,0,73,9771.0,18,9,,primary
T12210,U118,2022-01-25,0,127,20509.0,18,1,,primary
T6904,U063,2024-09-13,1,11,62193.0,55,2,,primary
T0713,U055,2023-08-22,0,195,3367.0,18,0,,primary
T7323,U009,2024-05-13,0,73,2721.0,55,1,,primary
T10231,U089,2021-04-16,0,127,2962.0,55,0,,primary
T11570,U052,2022-09-23,0,175,8283.0,38,0,,primary
T13926,U134,2024-09-16,0,195,3520.0,42,8,,primary
T0884,U115,2021-04-16,0,175,5524.0,18,4,,primary
T5033,U119,2021-12-18,0,175,140759.86999999106,55,9,,primary
T8492,U101,2021-04-16,0,42,1800.0,18,0,,primary
T4699,U090,2021-04-16,1,77,32146.0,42,3,,primary
T1841,U097,2021-04-16,1,113,57173.0,42,10,,primary
