transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4999,U018,2023-04-25,0,2,3888.0,1,0,
T12828,U133,2021-12-16,0,10,649.0,3,4,
T7403,U091,2021-12-16,1,5,13239.0,2,1,
T12350,U097,2021-12-16,0,4,6299.0,0,0,
T7495,U088,2021-12-16,0,3,2287.0,1,4,
T12465,U042,2021-12-16,0,4,4168.0,3,10,
T4518,U026,2021-12-16,0,2,828.0,1,7,
T9824,U061,2024-12-12,1,11,62061.0,1,0,
T0741,U053,2021-12-16,0,14,5070.0,4,6,
T12403,U004,2021-12-16,1,9,59543.0,4,7,
T5282,U016,2022-04-15,0,14,999999.0,1,3,
T6861,U112,2021-04-18,0,14,4262.0,4,0,
T9446,U006,2021-12-16,0,14,5767.0,0,1,
T3016,U099,2021-12-16,0,10,23760.0,1,1,
T11564,U148,2021-12-16,0,4,898.0,4,7,
T11382,U111,2021-12-16,1,5,25143.0,1,2,
T3133,U024,2021-12-16,0,10,9567.0,0,9,
T1982,U089,2021-02-27,1,9,49683.0,3,7,
T7154,U039,2021-12-16,0,4,222.0,4,1,
T2699,U092,2021-12-16,0,13,2553.0,4,7,
T5774,U005,2021-02-14,0,4,7406.0,1,1,
T12850,U076,2021-12-16,0,10,3010.0,4,6,
T5770,U107,2021-12-16,0,6,4846.0,2,2,
T6195,U038,2021-12-16,1,11,855881.0,0,5,
T12096,U075,2021-12-16,0,4,4452.0,1,1,
T5731,U027,2023-02-04,0,4,2206.0,0,10,
T0909,U013,2024-04-20,0,3,7038.0,1,5,
T7565,U075,2021-12-16,0,13,4286.0,0,4,
T1653,U099,2024-12-16,0,2,8119.0,1,4,
T6239,U150,2021-12-16,0,2,4189.0,1,1,
T2849,U150,2022-10-10,1,7,19947.0,0,7,
T3127,U023,2021-05-22,0,4,5918.0,4,10,
T4949,U101,2021-12-16,0,4,3865.0,0,5,
T3563,U007,2021-12-16,0,13,2407.0,1,2,
T10891,U055,2021-12-16,0,4,3085.0,1,5,
T10872,U080,2023-02-22,0,6,5252.0,3,3,
T6786,U017,2021-12-16,0,10,5918.0,0,4,
T3396,U136,2021-12-16,0,10,7619.0,2,9,
T1215,U150,2021-12-16,0,9,4823.0,2,0,
T5293,U044,2021-12-16,0,6,8497.0,3,6,
T12220,U122,2021-12-16,0,4,999999.0,4,7,
T2003,U149,2021-12-16,0,13,8241.0,4,10,
T9452,U062,2021-12-16,0,10,8579.0,0,0,
T4924,U082,2021-12-16,0,4,235.0,1,2,
T11911,U069,2021-12-16,0,4,1263.0,4,7,
T11270,U022,2023-08-09,0,6,2134.0,0,5,
T13032,U150,2021-12-16,0,2,2228.0,2,3,
T6095,U110,2024-01-11,0,10,5918.0,0,3,
T0361,U055,2023-08-16,0,14,1081.0,1,9,
T7314,U103,2021-12-16,0,3,371.0,2,8,
T11430,U108,2021-12-16,0,4,225.0,1,9,
T12663,U052,2021-12-16,0,10,23776.0,4,1,
T6106,U008,2021-12-16,0,6,6707.0,1,3,
T9628,U096,2021-12-16,0,4,8380.0,0,4,
T1623,U017,2021-12-16,0,14,601.0,0,5,
T13765,U034,2021-12-16,0,9,3219.0,2,4,
T10347,U017,2021-12-16,0,10,8182.0,2,10,
T5930,U011,2021-12-16,0,12,8111.0,3,3,
T1627,U069,2021-12-16,0,14,5554.0,0,4,
T4242,U053,2024-08-15,1,11,41573.0,0,8,
T12437,U004,2021-12-16,0,1,3110.0,0,2,
T8670,U030,2021-12-16,0,4,4277.0,1,9,
T11341,U127,2021-12-16,0,4,3047.0,1,8,
T9556,U008,2024-06-27,1,5,10183.0,3,3,
T2449,U028,2021-12-16,0,13,9888.0,0,3,
T4357,U088,2021-12-16,0,10,7217.0,2,3,
T0815,U141,2021-10-05,0,2,9725.0,0,2,
T7919,U086,2023-05-27,0,3,9648.0,0,6,
T5695,U061,2023-10-22,0,13,1643.0,1,8,
T2471,U066,2021-12-16,0,2,5918.0,2,3,
T3475,U046,2022-12-10,1,5,70075.0,4,6,
T5875,U081,2021-10-31,0,4,864.0,0,8,
T10128,U104,2024-09-06,0,8,6228.0,2,4,
T3491,U061,2021-12-16,0,2,1206.0,2,0,
T2225,U028,2023-07-06,0,2,8204.0,1,10,
T6946,U068,2021-12-16,0,1,5756.0,4,4,
T2022,U056,2021-12-16,0,4,5576.0,0,3,
T13529,U123,2021-11-05,0,6,9771.0,0,9,
T12210,U118,2022-01-25,0,10,20509.0,0,1,
T6904,U063,2024-09-13,1,0,62193.0,4,2,
T0713,U055,2023-08-22,0,14,3367.0,0,0,
T7323,U009,2024-05-13,0,6,2721.0,4,1,
T10231,U089,2021-12-16,0,10,2962.0,4,0,
T11570,U052,2022-09-23,0,13,8283.0,1,0,
T13926,U134,2024-09-16,0,14,3520.0,2,8,
T0884,U115,2021-12-16,0,13,5524.0,0,4,
T5033,U119,2021-12-18,0,13,999999.0,4,9,
T8492,U101,2021-12-16,0,3,1800.0,0,0,
T4699,U090,2021-12-16,1,7,32146.0,2,3,
T1841,U097,2021-12-16,1,9,57173.0,2,10,
T3041,U018,2021-07-11,0,10,2966.0,2,1,
T7693,U116,2021-12-16,0,3,1004.0,0,6,
T0071,U078,2024-04-26,0,10,6141.0,2,9,
T12197,U026,2021-12-16,0,13,9154.0,1,3,
T8563,U080,2021-12-16,0,13,9705.0,2,10,
T6626,U049,2022-08-14,0,4,2637.0,2,5,
T7302,U102,2021-12-16,0,4,1073.0,1,7,
T6588,U125,2021-12-16,0,4,425.0,0,5,
T3552,U095,2024-01-21,1,0,34145.0,0,4,
T1620,U040,2021-12-16,0,14,527.0,2,8,
T7912,U115,2021-12-16,0,12,5195.0,4,7,
T3571,U064,2024-10-05,0,3,3143.0,4,2,
T10957,U081,2021-12-16,0,13,2135.0,2,7,
T0294,U080,2021-12-16,0,4,2163.0,4,8,
T9414,U149,2021-12-16,0,10,42078.0,4,6,
T10537,U079,2021-12-16,0,4,2778.0,4,0,
T1125,U105,2024-11-22,0,6,3929.0,1,10,
T8978,U103,2021-12-16,1,5,23852.0,1,7,
T5936,U022,2021-06-13,0,8,6856.0,3,2,
T3751,U103,2024-05-31,1,0,49639.0,3,4,
T0626,U122,2021-12-16,0,2,3150.0,0,2,
T9500,U090,2022-06-07,0,6,9408.0,2,4,
T1537,U056,2021-12-16,0,3,4114.0,4,3,
T9185,U117,2021-12-16,1,0,14249.0,0,7,
T7093,U096,2023-03-29,0,13,9681.0,4,3,
T1990,U121,2021-12-16,0,13,3011.0,1,6,
T4706,U150,2021-12-16,0,6,3150.0,4,5,
T8416,U133,2021-12-16,1,0,32789.0,2,1,
T11932,U100,2023-02-10,0,14,6704.0,4,8,
T4683,U062,2022-08-27,0,13,4427.0,1,2,
T10528,U071,2021-12-16,0,3,3121.0,0,9,
T10806,U149,2021-12-16,0,4,3802.0,4,5,
T10505,U099,2021-12-16,0,2,544.0,4,0,
T13682,U145,2021-12-16,0,13,9053.0,3,7,
T12807,U029,2021-06-05,1,5,32381.0,0,2,
T6557,U007,2021-12-16,0,13,8305.0,4,9,
T0409,U137,2021-02-08,0,14,8841.0,3,8,
T10784,U022,2021-12-16,1,7,46219.0,1,7,
T2457,U054,2021-12-16,0,13,5918.0,2,8,
T12395,U062,2021-12-16,0,14,4451.0,0,8,
T1882,U101,2021-12-16,0,2,9358.0,1,8,
T13924,U035,2021-12-16,0,10,3569.0,2,5,
T13453,U110,2024-11-05,0,10,2979.0,2,4,
T9836,U058,2024-09-11,0,13,1863.0,0,4,
T13845,U066,2021-12-16,0,10,34984.0,4,2,
T11381,U107,2021-12-16,1,7,44031.0,0,4,
T5758,U049,2021-12-16,0,10,21771.0,4,2,
T12059,U077,2021-12-16,1,11,24920.0,4,2,
T8889,U131,2021-12-16,0,12,8861.0,0,9,
T10327,U136,2021-12-16,0,6,4201.0,0,6,
T4967,U113,2022-02-17,0,10,47473.0,0,4,
T11849,U040,2021-12-16,1,7,75822.0,2,8,
T5167,U014,2021-12-16,0,4,677.0,0,8,
T3952,U120,2021-12-16,0,10,43252.0,2,3,
T5844,U086,2021-04-24,0,4,2615.0,1,7,
T13040,U009,2021-12-16,0,4,2855.0,4,1,
T3167,U145,2021-12-16,1,0,57358.0,2,3,
T8867,U105,2021-12-16,0,8,6348.0,1,8,
T5926,U016,2021-12-16,0,10,4583.0,0,10,
T13662,U129,2021-12-16,0,9,4952.0,2,4,
T13593,U018,2021-12-16,0,9,3941.0,0,8,
T12216,U116,2021-12-16,1,9,47262.0,0,6,
T8335,U001,2021-12-16,0,3,1998.0,4,7,
T4933,U018,2021-12-16,0,4,8124.0,3,9,
T7036,U105,2021-12-16,0,13,1326.0,1,10,
T9072,U066,2021-12-16,0,12,4328.0,4,8,
T8270,U081,2021-12-16,0,4,276.0,0,9,
T12265,U094,2022-04-02,0,14,4215.0,1,4,
T4637,U005,2021-12-16,0,14,6316.0,4,9,
T9022,U089,2024-03-10,0,10,21376.0,4,2,
T7016,U145,2021-01-09,0,14,7391.0,2,4,
T12109,U144,2021-12-16,0,13,2990.0,4,8,
T9952,U045,2022-12-24,0,14,2230.0,3,3,
T13401,U064,2021-09-17,0,4,6197.0,4,10,
T11100,U142,2021-12-16,0,4,6502.0,1,5,
T4072,U067,2021-12-16,0,8,6902.0,1,3,
T8303,U091,2021-12-16,0,4,5918.0,0,6,
T9115,U060,2021-12-16,0,3,9939.0,0,9,
T2668,U126,2021-12-16,0,10,1518.0,0,7,
T1256,U035,2021-12-16,0,13,2985.0,2,3,
T7219,U002,2024-06-28,0,2,3150.0,0,0,
T7845,U014,2021-12-16,0,14,6671.0,4,0,
T4986,U124,2023-07-04,0,13,1409.0,4,2,
T1883,U047,2021-12-16,0,1,2497.0,0,6,
T7034,U108,2021-12-16,0,14,6324.0,1,2,
T11835,U125,2021-12-16,0,2,7315.0,0,5,
T0231,U031,2021-12-16,0,14,7080.0,0,6,
