transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T03512,U039,2021-04-16,Expense,Rent,998.0,Cash,Pune,
T03261,U179,2021-04-16,Expense,Food,143.0,Card,Delhi,
T04316,U143,2021-04-16,Expense,Rent,149.0,Cash,Bangalore,
T05649,U079,2021-04-16,Expense,Rent,49.0,Upi,Unknown,
T14750,U020,2021-04-16,Income,Other Income,83802.0,Bank Transfer,Chennai,
T04246,U188,2021-04-16,Expense,Entertainment,208.0,Upi,Hyderabad,
T01814,U150,2021-04-16,Expense,Savings,681.0,Cash,Kolkata,
T06293,U014,2022-01-06,Expense,Rent,2524.0,Bank Transfer,Unknown,
T07930,U138,2021-04-16,Expense,Education,93.0,Bank Transfer,Pune,
T04656,U112,2021-04-16,Expense,Food,323.0,Upi,Ahmedabad,
T11712_D2,U117,2021-04-16,Expense,Others,662.0,Upi,Chennai,
T00308,U009,2021-04-16,Expense,Food,1019.0,Upi,Kolkata,
T01783,U092,2021-04-16,Expense,Entertainment,203.0,Bank Transfer,Jaipur,
T09558,U082,2020-10-26,Income,Salary,59149.0,Bank Transfer,Chennai,
T09993,U148,2021-05-25,Income,Other Income,78744.0,Bank Transfer,Unknown,
T02596,U050,2021-04-16,Income,Other Income,58874.0,Card,Bangalore,
T05569,U049,2021-09-24,Expense,Food,258.0,Bank Transfer,Lucknow,
T10777_D1,U044,2022-07-02,Expense,Travel,336.0,Upi,Kolkata,
T11684_D1,U114,2021-04-16,Expense,Food,383.0,Bank Transfer,Hyderabad,
T14503,U119,2021-04-16,Expense,Savings,93.0,Card,Ahmedabad,
T11737_D1,U059,2021-04-16,Expense,Food,82.0,Cash,Lucknow,
T08540,U095,2021-06-26,Expense,Food,1761.0,Cash,Hyderabad,
T11492_D1,U149,2021-04-16,Expense,Rent,1580.0,Upi,Lucknow,
T10632_D1,U157,2021-04-16,Expense,Reent,856.0,Upi,Mumbai,
T02786,U150,2021-04-16,Expense,Rent,46.0,Cash,Hyderabad,
T14674,U158,2022-04-17,Income,Bonus,35621.0,Card,Pune,
T06474,U136,2021-04-16,Expense,Rent,490.0,Bank Transfer,Mumbai,
T05913,U070,2020-07-13,Expense,Food,1096.0,Upi,Unknown,
T02520,U088,2021-04-16,Expense,Health,193.0,Bank Transfer,Ahmedabad,
T02736,U040,2021-04-16,Expense,Entertainment,187.0,Bank Transfer,Bangalore,
T00990,U014,2021-04-16,Expense,Others,2506.0,Bank Transfer,Ahmedabad,
T08692,U116,2020-04-05,Income,Salary,56751.0,Upi,Bangalore,
T07857,U002,2021-04-16,Income,Other Income,63433.0,Bank Transfer,Ahmedabad,
T08139,U079,2022-12-18,Income,Bonus,55318.0,Cash,Bangalore,
T02021,U035,2022-04-29,Expense,Others,206.0,Upi,Kolkata,
T08463,U179,2021-04-16,Expense,Utilities,215.0,Cash,Bangalore,
T09732,U071,2019-02-16,Expense,Travel,2871.0,Card,Mumbai,
T08387,U009,2021-04-16,Expense,Utilities,272.0,Upi,Pune,
T04370,U119,2021-04-16,Expense,Food,5387.0,Bank Transfer,Pune,
T03937,U104,2021-04-16,Income,Other Income,53334.0,Cash,Ahmedabad,
T12024_D1,U066,2021-04-16,Expense,Travel,239.0,Bank Transfer,Pune,
T14443,U025,2021-04-16,Expense,Rent,129.0,Upi,Lucknow,
T05759,U088,2019-12-28,Expense,Entertainment,123.0,Bank Transfer,Chennai,
T00315,U142,2021-04-16,Expense,Food,143.0,Cash,Chennai,
T05202,U088,2019-04-18,Expense,Food,125.0,Cash,Jaipur,
T11066_D1,U031,2021-04-16,Expense,Nan,367.0,Bank Transfer,Kolkata,
T01016,U041,2021-04-16,Expense,Others,517.0,Cash,Kolkata,
T06997,U075,2021-04-16,Expense,Food,3186.0,Bank Transfer,Chennai,
T02973,U129,2021-04-16,Expense,Food,141.0,Bank Transfer,Bangalore,
T03039,U141,2021-04-16,Expense,Travel,266.0,Bank Transfer,Lucknow,
T14348,U166,2021-04-16,Expense,Food,996.0,Upi,Bangalore,
T11938_D2,U090,2021-04-16,Expense,Others,1901.0,Nan,Chennai,
T07615,U038,2021-04-16,Expense,Rent,186.0,Upi,Ahmedabad,
T06608,U163,2019-03-06,Expense,Rent,216.0,Card,Mumbai,
T07654,U175,2021-04-16,Expense,Others,196.0,Bank Transfer,Hyderabad,
T01611,U019,2021-04-16,Expense,Rent,1015.0,Upi,Ahmedabad,
T01335,U113,2021-04-16,Income,Bonus,46491.0,Upi,Delhi,
T07445,U075,2021-04-16,Expense,Ood,4048.0,Bank Transfer,Unknown,
T10705_D1,U035,2021-04-16,Income,Other Income,32770.0,Bank Transfer,Pune,
T11761_D1,U093,2021-04-16,Expense,Entertainment,2951.0,Cash,Pune,
T11949_D1,U127,2022-02-14,Expense,Food,56.0,Bank Transfer,Bangalore,
T00222,U014,2022-07-04,Expense,Traavel,745.0,Cash,Delhi,
T08940,U062,2021-02-01,Income,Salary,52826.0,Card,Mumbai,
T03286,U119,2021-04-16,Expense,Savings,408.0,Card,Chennai,
T13097_D1,U067,2019-09-27,Expense,Rent,1237.0,Card,Mumbai,
T12188_D1,U005,2022-04-19,Expense,Entertainment,2325.0,Bank Transfer,Kolkata,
T01970,U044,2021-04-16,Expense,Rent,1530.0,Card,Hyderabad,
T01399,U076,2021-04-16,Expense,Travel,200.0,Upi,Delhi,
T08098,U049,2021-04-16,Expense,Travel,183.0,Cash,Ahmedabad,
T02085,U176,2022-03-14,Expense,Food,333.0,Bank Transfer,Bangalore,
T01842,U161,2021-04-16,Expense,Food,1275.0,Card,Kolkata,
T11562_D1,U140,2021-04-16,Expense,Entertainment,1769.0,Cash,Jaipur,
T07877,U032,2021-04-16,Expense,Travel,100.0,Bank Transfer,Jaipur,
T03340,U107,2021-04-16,Expense,Rent,814.0,Card,Delhi,
T14028,U175,2021-04-16,Expense,Utilities,208.0,Cash,Mumbai,
T03872,U051,2021-12-22,Expense,Education,113.0,Upi,Bangalore,
T03916,U086,2021-04-16,Expense,Rent,44.0,Cash,Kolkata,
T14446,U136,2022-03-24,Expense,Rent,219.0,Card,Mumbai,
T09919,U177,2021-04-16,Income,Salary,52861.0,Upi,Kolkata,
T02778,U103,2021-04-16,Expense,Food,33.0,Ccash,Jaipur,
T03163,U022,2021-04-16,Expense,Entertainment,418.0,Bank Transfer,Ahmedabad,
T02942,U003,2021-04-16,Expense,Savings,184.0,Upi,Pune,
T04791,U112,2020-08-03,Income,Other Income,68894.0,Bank Transfer,Hyderabad,
T02335,U052,2021-04-16,Expense,Savings,2849.0,Upi,Unknown,
T09490,U109,2021-04-16,Expense,Food,55.0,Cash,Hyderabad,
T07421,U093,2021-04-16,Expense,Others,373.0,Cash,Jaipur,
T06200,U001,2021-04-16,Expense,Rent,201.0,Bank Transfer,Pune,
T04759,U144,2021-04-16,Expense,Savings,8360.0,Bank Transfer,Lucknow,
T11740_D1,U083,2021-04-16,Expense,Food,1766.0,Cash,Chennai,
T08870,U077,2021-04-16,Expense,Tavel,411.0,Bank Transfer,Ahmedabad,
T14621,U063,2020-02-22,Expense,Rent,20.0,Card,Mumbai,
T14576,U106,2019-10-28,Expense,Rent,78.0,Card,Ahmedabad,
T09583,U118,2021-04-16,Expense,Rent,720.0,Cash,Bangalore,
T12697_D1,U165,2021-09-09,Expense,Oothers,1067.0,Upi,Hyderabad,
T00428,U041,2021-04-16,Expense,Food,693.0,Bank Transfer,Hyderabad,
T13693_D1,U161,2021-04-16,Expense,Travel,641.0,Card,Delhi,
T03728,U066,2021-04-16,Expense,Utilites,389.0,Upi,Bangalore,
T08570,U087,2020-09-03,Expense,Food,556.0,Card,Lucknow,
T14413,U181,2021-04-16,Income,Salary,60559.0,Upi,Jaipur,
T00734,U019,2021-10-04,Expense,Health,57.0,Bank Transfer,Mumbai,
T03776,U048,2020-05-09,Expense,Food,641.0,Card,Bangalore,
T02361,U087,2021-04-16,Expense,Travel,564.0,Upi,Delhi,
T11868_D1,U053,2021-04-16,Expense,Rent,1229.0,Cash,Pune,
T13423_D1,U102,2021-06-12,Expense,Nan,435.0,Cash,Hyderabad,
T08941,U071,2021-04-16,Expense,Food,189.0,Upi,Ahmedabad,
T12761_D1,U005,2021-04-16,Expense,Entertainment,37.0,Bank Transfer,Jaipur,
T00663,U169,2020-11-16,Expense,Travel,175.0,Card,Delhi,
T05581,U170,2021-04-16,Expense,Food,2183.0,Upi,Hyderabad,
T04057,U147,2021-04-16,Expense,Ernt,705.0,Cash,Bangalore,
T06229,U175,2019-07-01,Expense,Trave,404.0,Bank Transfer,Pune,
T13394_D1,U134,2019-04-02,Income,Bonus,45883.0,Card,Mumbai,
T04446,U111,2021-04-16,Expense,Food,40.0,Cash,Pune,
T11310_D1,U028,2021-04-16,Income,Salary,69360.0,Bank Transfer,Mumbai,
T11529_D1,U033,2021-04-16,Expense,Food,227.0,Cash,Bangalore,
T13813_D1,U143,2021-04-16,Expense,Food,757.0,Upi,Kolkata,
T00554,U005,2019-01-23,Expense,Food,81.0,Card,Ahmedabad,
T14182,U082,2021-04-16,Expense,Food,196.0,Bank Transfer,Jaipur,
T05044,U160,2021-04-16,Income,Bonus,53159.0,Cash,Lucknow,
T05971,U148,2021-05-28,Expense,Travel,86.0,Upi,Lucknow,
T10626_D1,U049,2021-04-16,Expense,Rent,641.0,Cash,Bangalore,
T05376,U053,2019-10-14,Expense,Rent,143.0,Bank Transfer,Kolkata,
T03003,U095,2021-04-16,Expense,Savingss,2035.0,Card,Chennai,
T06854,U074,2021-04-16,Expense,Rent,51.0,Cash,Pune,
T01355,U095,2019-10-15,Expense,Rent,1766.0,Cash,Delhi,
T00101,U177,2021-04-16,Expense,Food,575.0,Bank Transfer,Jaipur,
T11581_D1,U112,2021-04-16,Expense,Rent,123.0,Card,Unknown,
T07843,U067,2021-04-16,Expense,Health,195.0,Bank Transfer,Hyderabad,
T07405,U080,2020-01-17,Expense,Food,587.0,Card,Bangalore,
T06736,U061,2021-04-16,Expense,Rent,555.0,Upi,Unknown,
T07517,U005,2021-04-16,Expense,Rent,61.0,Upi,Hyderabad,
T06119,U147,2021-04-16,Expense,Utilities,824.0,Cash,Pune,
T00904,U189,2019-03-06,Expense,Savings,443.0,Bank Transfer,Delhi,
T08456,U076,2021-04-16,Expense,Food,225.0,Cash,Chennai,
T14290,U066,2021-04-16,Income,Bonus,63456.0,Upi,Bangalore,
T13075_D1,U077,2020-04-30,Expense,Rent,326.0,Card,Ahmedabad,
T03061,U087,2021-04-16,Expense,Rent,1881.0,Card,Lucknow,
T11432_D1,U159,2021-04-16,Expense,Trave,111.0,Bank Transfer,Delhi,
T04560,U020,2021-04-16,Expense,Travel,5172.0,Bank Transfer,Mumbai,
T02114,U189,2021-06-20,Expense,Travel,1703.0,Cash,Lucknow,
T12679_D1,U181,2021-04-16,Income,Other Income,58619.0,Upi,Mumbai,
T14712,U016,2021-04-16,Expense,Savings,1711.0,Card,Pune,
T06760,U051,2021-04-16,Income,Other Income,45038.0,Bank Transfer,Ahmedabad,
T10248_D1,U108,2021-04-16,Expense,Entertainment,1050.0,Cash,Hyderabad,
T13425_D1,U023,2021-04-16,Expense,Travel,617.0,Cash,Ahmedabad,
T05533,U026,2021-04-16,Expense,Travel,45.0,Cash,Delhi,
T07945,U058,2022-12-20,Expense,Rent,104.0,Cash,Hyderabad,
T13942_D1,U013,2021-04-16,Expense,Food,2421.0,Card,Jaipur,
T14822,U185,2020-09-01,Income,Other Income,69193.0,Cash,Delhi,
T06956,U074,2021-04-16,Expense,Education,143.0,Bank Transfer,Bangalore,
T11139_D1,U088,2021-04-16,Expense,Rent,959.0,Bank Transfer,Unknown,
T11916_D1,U163,2019-12-03,Income,Salary,41560.0,Cash,Lucknow,
T08529,U168,2019-05-29,Expense,Ernt,77.0,Upi,Unknown,
T14294,U155,2022-02-09,Expense,Travel,1175.0,Bank Transfer,Mumbai,
T12514_D1,U093,2021-04-16,Expense,Utilities,85.0,Bank Transfer,Chennai,
T09379,U117,2021-04-16,Expense,Rent,232.0,Nan,Bangalore,
T14731,U026,2021-04-16,Expense,Food,1588.0,Card,Chennai,
T13317_D1,U027,2021-04-16,Expense,Ren,205.0,Bank Transfer,Kolkata,
T06479,U152,2021-04-16,Expense,Travel,374.0,Upi,Pune,
T05787,U014,2021-04-16,Expense,Food,263.0,Upi,Jaipur,
T09733,U191,2021-04-16,Expense,Entertainment,757.0,Card,Pune,
T02638,U040,2021-01-17,Expense,Rent,50.0,Upi,Mumbai,
T06460,U061,2021-04-16,Income,Bonus,43834.0,Cash,Delhi,
T02527,U099,2020-10-11,Expense,Utilities,472.0,Cash,Lucknow,
T10439_D1,U135,2021-04-16,Income,Salary,49691.0,Upi,Pune,
T12034_D1,U100,2021-04-16,Expense,Rtavel,1413.0,Caard,Delhi,
T14582,U014,2021-04-16,Expense,Education,207.0,Card,Hyderabad,
T03605,U090,2021-04-16,Expense,Entertainment,923.0,Cash,Bangalore,
T03072,U131,2021-04-16,Expense,Utilities,157.0,Bank Transfer,Kolkata,
T08208,U185,2021-04-16,Expense,Savings,2425.0,Cash,Mumbai,
T02374,U089,2021-04-16,Expense,Rent,106.0,Upi,Pune,
T05338,U050,2021-04-16,Expense,Food,406.0,Card,Kolkata,
T06327,U060,2020-09-26,Expense,Food,264.0,Bank Transfer,Kolkata,
T13510_D1,U070,2021-04-16,Expense,Utilities,133.0,Upi,Mumbai,
T10985_D1,U114,2021-04-16,Expense,Savings,747.0,Cash,Mumbai,
T00159,U152,2021-04-16,Expense,Others,914.0,Cash,Mumbai,
T08980,U025,2021-04-16,Income,Bonus,68420.0,Bank Transfer,Delhi,
T07670,U084,2021-04-16,Expense,Travel,348.0,Upi,Pune,
T11084_D1,U053,2019-01-11,Income,Bonus,57190.0,Upi,Jaipur,
T11154_D1,U031,2020-03-23,Expense,Foo,568.0,Bank Transfer,Unknown,
T06945,U077,2021-04-16,Expense,Travel,125.0,Bank Transfer,Mumbai,
T11314_D1,U124,2021-04-16,Expense,Others,726.0,Upi,Chennai,
T01430,U121,2021-04-16,Expense,Food,301.0,Upi,Kolkata,
T02530,U164,2020-10-19,Income,Salary,39615.0,Upi,Bangalore,
T10146_D1,U042,2019-06-05,Expense,Health,324.0,Bank Transfer,Kolkata,
T07377,U064,2021-04-16,Expense,Rent,1789.0,Card,Hyderabad,
T08343,U113,2020-12-24,Expense,Food,2325.0,Card,Kolkata,
T10891_D1,U143,2021-11-07,Expense,Rent,61.0,Card,Mumbai,
T05368,U170,2021-04-16,Expense,Food,64.0,Cash,Delhi,
T09121,U146,2022-03-15,Income,Salary,66226.0,Bank Transfer,Pune,
T02141,U084,2022-11-17,Expense,Food,114.0,Card,Jaipur,
T13464_D1,U179,2021-04-16,Expense,Travel,97.0,Upi,Lucknow,
T02339,U157,2021-04-16,Expense,Food,323.0,Upi,Mumbai,
T06675,U117,2021-04-16,Expense,Utilities,246.0,Cash,Ahmedabad,
T02186,U190,2021-04-16,Income,Otehr Income,59622.0,Card,Kolkata,
T04574,U033,2020-10-07,Expense,Utilities,965.0,Bank Transfer,Ahmedabad,
T08561,U112,2021-04-16,Expense,Rent,116.0,Card,Jaipur,
T05331,U115,2019-04-03,Expense,Food,1372.0,Cash,Bangalore,
T06662,U174,2021-04-16,Expense,Travel,142.0,Cash,Jaipur,
T13401_D1,U026,2019-11-04,Expense,Entertainment,83.0,Bank Transfer,Mumbai,
T14142,U180,2021-04-16,Expense,Foo,231.0,Upi,Delhi,
T13459_D1,U102,2021-04-16,Expense,Utilities,485.0,Bank Transfer,Pune,
T12022_D1,U057,2021-04-16,Expense,Savings,3866.0,Bank Transfer,Chennai,
T00209,U064,2021-04-16,Income,Bonus,63751.0,Cash,Bangalore,
T14671,U023,2019-02-11,Expense,Food,1789.0,Upi,Chennai,
T07051,U041,2020-03-26,Income,Salary,75840.0,Card,Unknown,
T01429,U085,2021-04-16,Expense,Rent,69.0,Upi,Delhi,
T00757,U022,2021-04-16,Expense,Travel,4679.0,Bank Transfer,Delhi,
T10510_D1,U019,2020-08-27,Expense,Rtavel,791.0,Upi,Chennai,
T14667,U108,2020-02-11,Expense,Food,259.0,Upi,Unknown,
T02915,U139,2021-04-16,Expense,Others,843.0,Upi,Kolkata,
T06420,U054,2021-08-03,Expense,Food,516.0,Bank Transfer,Mumbai,
T09600,U099,2021-04-16,Expense,Rent,731.0,Bank Transfer,Delhi,
T05845,U096,2021-04-16,Expense,Food,388.0,Bank Transfer,Bangalore,
T09062,U185,2021-04-16,Expense,Rent,418.0,Bank Transfer,Mumbai,
T11610_D1,U102,2019-07-31,Income,Other Income,54548.0,Upi,Mumbai,
T11709_D1,U028,2021-04-16,Expense,Rent,201.0,Cash,Bangalore,
T07464,U043,2020-02-18,Expense,Food,140759.86999999106,Card,Delhi,
T07338,U071,2021-04-16,Income,Bonus,68463.0,Cash,Lucknow,
T00082,U163,2021-04-16,Expense,Food,1325.0,Card,Jaipur,
T08610,U147,2021-04-16,Expense,Food,8096.0,Cash,Jaipur,
T08325,U164,2021-04-16,Expense,Rent,194.0,Bank Transfer,Bangalore,
T03004,U039,2021-04-16,Expense,Rent,1706.0,Bank Transfer,Lucknow,
T01792,U095,2021-04-16,Expense,Food,20.0,Upi,Kolkata,
T07169,U054,2022-03-29,Expense,Rent,424.0,Upi,Jaipur,
T12842_D1,U146,2020-10-21,Expense,Others,2364.0,Card,Mumbai,
T01961,U039,2021-04-16,Expense,Food,183.0,Upi,Mumbai,
T01299,U062,2021-04-16,Expense,Food,594.0,Bank Transfer,Bangalore,
T03989,U113,2021-04-16,Expense,Food,239.0,Card,Jaipur,
T13134_D1,U158,2020-04-17,Income,Other Income,48427.0,Upi,Hyderabad,
T10795_D1,U116,2020-08-28,Expense,Food,287.0,Bank Transfer,Bangalore,
T02251,U136,2021-04-16,Expense,Rent,709.0,Card,Ahmedabad,
T04812,U129,2021-04-16,Expense,Entertainment,4518.0,Card,Lucknow,
T11426_D1,U069,2020-08-15,Expense,Food,512.0,Cash,Jaipur,
T01546,U141,2019-04-12,Expense,Travel,335.0,Bank Transfer,Hyderabad,
T11648_D1,U102,2021-08-06,Expense,Otehrs,1952.0,Cash,Lucknow,
T03610,U010,2019-05-24,Income,Bonus,39902.0,Upi,Jaipur,
T04796,U055,2021-06-28,Expense,Rent,255.0,Upi,Chennai,
T14447,U186,2021-04-16,Expense,Food,964.0,Card,Bangalore,
T01971,U168,2020-10-22,Income,Salary,67136.0,Bank Transfer,Ahmedabad,
T11440_D1,U081,2021-04-16,Expense,Rent,2325.0,Bank Transfer,Delhi,
T04580,U137,2022-02-01,Expense,Rent,2070.0,Card,Pune,
T08563,U115,2021-04-16,Expense,Utilities,730.0,Card,Mumbai,
T02867,U047,2021-04-16,Expense,Education,970.0,Cash,Lucknow,
T14631,U184,2021-04-16,Expense,Utilities,101.0,Cash,Jaipur,
T13312_D1,U127,2021-04-16,Expense,Travel,480.0,Bank Transfer,Pune,
T03414,U103,2021-04-16,Expense,Travel,49.0,Bank Transfer,Lucknow,
T01292,U136,2020-10-19,Expense,Rent,18.0,Cash,Hyderabad,
T13881_D1,U165,2021-04-16,Expense,Entertainment,908.0,Card,Chennai,
T14170,U095,2021-04-16,Expense,Travel,1701.0,Cash,Kolkata,
T02412,U093,2021-04-16,Expense,Food,1328.0,Card,Kolkata,
T13217_D2,U048,2021-05-18,Expense,Food,412.0,Upi,Kolkata,
T06670,U182,2021-04-16,Expense,Food,4204.0,Card,Ahmedabad,
T13829_D1,U025,2019-01-27,Expense,Savings,284.0,Card,Delhi,
T08053,U134,2021-04-16,Expense,Rent,2016.0,Card,Ahmedabad,
