transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,dataset_source
T4999,U018,2023-04-25,Expense,Education,3888.0,Card,Ahmedabad,,primary
T12828,U133,2021-04-16,Expense,Rent,649.0,Nan,Hyderabad,,primary
T7403,U091,2021-04-16,Income,Freelance,13239.0,Cash,Bangalore,,primary
T12350,U097,2021-04-16,Expense,Food,6299.0,Bank Transfer,Ahmedabad,,primary
T7495,U088,2021-04-16,Expense,Entertainment,2287.0,Card,Hyderabad,,primary
T12465,U042,2021-04-16,Expense,Food,4168.0,Nan,Unknown,,primary
T4518,U026,2021-04-16,Expense,Education,828.0,Card,Lucknow,,primary
T9824,U061,2024-12-12,Income,Salary,62061.0,Card,Ahmedabad,,primary
T0741,U053,2021-04-16,Expense,Utilities,5070.0,Upi,Kolkata,,primary
T12403,U004,2021-04-16,Income,Others,59543.0,Upi,Lucknow,,primary
T5282,U016,2022-04-15,Expense,Utilities,140759.86999999106,Card,Delhi,,primary
T6861,U112,2021-04-18,Expense,Utilities,4262.0,Upi,Ahmedabad,,primary
T9446,U006,2021-04-16,Expense,Utilities,5767.0,Bank Transfer,Bangalore,,primary
T3016,U099,2021-04-16,Expense,Rent,23760.0,Card,Bangalore,,primary
T11564,U148,2021-04-16,Expense,Food,898.0,Upi,Lucknow,,primary
T11382,U111,2021-04-16,Income,Freelance,25143.0,Card,Chennai,,primary
T3133,U024,2021-04-16,Expense,Rent,9567.0,Bank Transfer,Pune,,primary
T1982,U089,2021-02-27,Income,Others,49683.0,Nan,Lucknow,,primary
T7154,U039,2021-04-16,Expense,Food,222.0,Upi,Bangalore,,primary
T2699,U092,2021-04-16,Expense,Travel,2553.0,Upi,Lucknow,,primary
T5774,U005,2021-02-14,Expense,Food,7406.0,Card,Bangalore,,primary
T12850,U076,2021-04-16,Expense,Rent,3010.0,Upi,Kolkata,,primary
T5770,U107,2021-04-16,Expense,Health,4846.0,Cash,Chennai,,primary
T6195,U038,2021-04-16,Income,Salary,140759.86999999106,Bank Transfer,Jaipur,,primary
T12096,U075,2021-04-16,Expense,Food,4452.0,Card,Bangalore,,primary
T5731,U027,2023-02-04,Expense,Food,2206.0,Bank Transfer,Unknown,,primary
T0909,U013,2024-04-20,Expense,Entertainment,7038.0,Card,Jaipur,,primary
T7565,U075,2021-04-16,Expense,Travel,4286.0,Bank Transfer,Hyderabad,,primary
T1653,U099,2024-12-16,Expense,Education,8119.0,Card,Hyderabad,,primary
T6239,U150,2021-04-16,Expense,Education,4189.0,Card,Bangalore,,primary
T2849,U150,2022-10-10,Income,Investment,19947.0,Bank Transfer,Lucknow,,primary
T3127,U023,2021-05-22,Expense,Food,2325.0,Upi,Unknown,,primary
T4949,U101,2021-04-16,Expense,Food,3865.0,Bank Transfer,Jaipur,,primary
T3563,U007,2021-04-16,Expense,Travel,2407.0,Card,Chennai,,primary
T10891,U055,2021-04-16,Expense,Food,3085.0,Card,Jaipur,,primary
T10872,U080,2023-02-22,Expense,Health,5252.0,Nan,Delhi,,primary
T6786,U017,2021-04-16,Expense,Rent,2325.0,Bank Transfer,Hyderabad,,primary
T3396,U136,2021-04-16,Expense,Rent,7619.0,Cash,Pune,,primary
T1215,U150,2021-04-16,Expense,Others,4823.0,Cash,Ahmedabad,,primary
T5293,U044,2021-04-16,Expense,Health,8497.0,Nan,Kolkata,,primary
