transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4999,U018,2023-04-25,Expense,Education,3888.0,Card,Ahmedabad,
T12828,U133,2021-12-16,Expense,Rent,649.0,Nan,Hyderabad,
T7403,U091,2021-12-16,Income,Freelance,13239.0,Cash,Bangalore,
T12350,U097,2021-12-16,Expense,Food,6299.0,Bank Transfer,Ahmedabad,
T7495,U088,2021-12-16,Expense,Entertainment,2287.0,Card,Hyderabad,
T12465,U042,2021-12-16,Expense,Food,4168.0,Nan,Unknown,
T4518,U026,2021-12-16,Expense,Education,828.0,Card,Lucknow,
T9824,U061,2024-12-12,Income,Salary,62061.0,Card,Ahmedabad,
T0741,U053,2021-12-16,Expense,Utilities,5070.0,Upi,Kolkata,
T12403,U004,2021-12-16,Income,Others,59543.0,Upi,Lucknow,
T5282,U016,2022-04-15,Expense,Utilities,999999.0,Card,Delhi,
T6861,U112,2021-04-18,Expense,Utilities,4262.0,Upi,Ahmedabad,
T9446,U006,2021-12-16,Expense,Utilities,5767.0,Bank Transfer,Bangalore,
T3016,U099,2021-12-16,Expense,Rent,23760.0,Card,Bangalore,
T11564,U148,2021-12-16,Expense,Food,898.0,Upi,Lucknow,
T11382,U111,2021-12-16,Income,Freelance,25143.0,Card,Chennai,
T3133,U024,2021-12-16,Expense,Rent,9567.0,Bank Transfer,Pune,
T1982,U089,2021-02-27,Income,Others,49683.0,Nan,Lucknow,
T7154,U039,2021-12-16,Expense,Food,222.0,Upi,Bangalore,
T2699,U092,2021-12-16,Expense,Travel,2553.0,Upi,Lucknow,
T5774,U005,2021-02-14,Expense,Food,7406.0,Card,Bangalore,
T12850,U076,2021-12-16,Expense,Rent,3010.0,Upi,Kolkata,
T5770,U107,2021-12-16,Expense,Health,4846.0,Cash,Chennai,
T6195,U038,2021-12-16,Income,Salary,855881.0,Bank Transfer,Jaipur,
T12096,U075,2021-12-16,Expense,Food,4452.0,Card,Bangalore,
T5731,U027,2023-02-04,Expense,Food,2206.0,Bank Transfer,Unknown,
T0909,U013,2024-04-20,Expense,Entertainment,7038.0,Card,Jaipur,
T7565,U075,2021-12-16,Expense,Travel,4286.0,Bank Transfer,Hyderabad,
T1653,U099,2024-12-16,Expense,Education,8119.0,Card,Hyderabad,
T6239,U150,2021-12-16,Expense,Education,4189.0,Card,Bangalore,
T2849,U150,2022-10-10,Income,Investment,19947.0,Bank Transfer,Lucknow,
T3127,U023,2021-05-22,Expense,Food,5918.0,Upi,Unknown,
T4949,U101,2021-12-16,Expense,Food,3865.0,Bank Transfer,Jaipur,
T3563,U007,2021-12-16,Expense,Travel,2407.0,Card,Chennai,
T10891,U055,2021-12-16,Expense,Food,3085.0,Card,Jaipur,
T10872,U080,2023-02-22,Expense,Health,5252.0,Nan,Delhi,
T6786,U017,2021-12-16,Expense,Rent,5918.0,Bank Transfer,Hyderabad,
T3396,U136,2021-12-16,Expense,Rent,7619.0,Cash,Pune,
T1215,U150,2021-12-16,Expense,Others,4823.0,Cash,Ahmedabad,
T5293,U044,2021-12-16,Expense,Health,8497.0,Nan,Kolkata,
T12220,U122,2021-12-16,Expense,Food,999999.0,Upi,Lucknow,
T2003,U149,2021-12-16,Expense,Travel,8241.0,Upi,Unknown,
T9452,U062,2021-12-16,Expense,Rent,8579.0,Bank Transfer,Ahmedabad,
T4924,U082,2021-12-16,Expense,Food,235.0,Card,Chennai,
T11911,U069,2021-12-16,Expense,Food,1263.0,Upi,Lucknow,
T11270,U022,2023-08-09,Expense,Health,2134.0,Bank Transfer,Jaipur,
T13032,U150,2021-12-16,Expense,Education,2228.0,Cash,Delhi,
T6095,U110,2024-01-11,Expense,Rent,5918.0,Bank Transfer,Delhi,
T0361,U055,2023-08-16,Expense,Utilities,1081.0,Card,Pune,
T7314,U103,2021-12-16,Expense,Entertainment,371.0,Cash,Mumbai,
T11430,U108,2021-12-16,Expense,Food,225.0,Card,Pune,
T12663,U052,2021-12-16,Expense,Rent,23776.0,Upi,Bangalore,
T6106,U008,2021-12-16,Expense,Health,6707.0,Card,Delhi,
T9628,U096,2021-12-16,Expense,Food,8380.0,Bank Transfer,Hyderabad,
T1623,U017,2021-12-16,Expense,Utilities,601.0,Bank Transfer,Jaipur,
T13765,U034,2021-12-16,Expense,Others,3219.0,Cash,Hyderabad,
T10347,U017,2021-12-16,Expense,Rent,8182.0,Cash,Unknown,
T5930,U011,2021-12-16,Expense,Savings,8111.0,Nan,Delhi,
T1627,U069,2021-12-16,Expense,Utilities,5554.0,Bank Transfer,Hyderabad,
T4242,U053,2024-08-15,Income,Salary,41573.0,Bank Transfer,Mumbai,
T12437,U004,2021-12-16,Expense,Edu,3110.0,Bank Transfer,Chennai,
T8670,U030,2021-12-16,Expense,Food,4277.0,Card,Pune,
T11341,U127,2021-12-16,Expense,Food,3047.0,Card,Mumbai,
T9556,U008,2024-06-27,Income,Freelance,10183.0,Nan,Delhi,
T2449,U028,2021-12-16,Expense,Travel,9888.0,Bank Transfer,Delhi,
T4357,U088,2021-12-16,Expense,Rent,7217.0,Cash,Delhi,
T0815,U141,2021-10-05,Expense,Education,9725.0,Bank Transfer,Chennai,
T7919,U086,2023-05-27,Expense,Entertainment,9648.0,Bank Transfer,Kolkata,
T5695,U061,2023-10-22,Expense,Travel,1643.0,Card,Mumbai,
T2471,U066,2021-12-16,Expense,Education,5918.0,Cash,Delhi,
T3475,U046,2022-12-10,Income,Freelance,70075.0,Upi,Kolkata,
T5875,U081,2021-10-31,Expense,Food,864.0,Bank Transfer,Mumbai,
T10128,U104,2024-09-06,Expense,Nan,6228.0,Cash,Hyderabad,
T3491,U061,2021-12-16,Expense,Education,1206.0,Cash,Ahmedabad,
T2225,U028,2023-07-06,Expense,Education,8204.0,Card,Unknown,
T6946,U068,2021-12-16,Expense,Edu,5756.0,Upi,Hyderabad,
T2022,U056,2021-12-16,Expense,Food,5576.0,Bank Transfer,Delhi,
T13529,U123,2021-11-05,Expense,Health,9771.0,Bank Transfer,Pune,
T12210,U118,2022-01-25,Expense,Rent,20509.0,Bank Transfer,Bangalore,
T6904,U063,2024-09-13,Income,Bonus,62193.0,Upi,Chennai,
T0713,U055,2023-08-22,Expense,Utilities,3367.0,Bank Transfer,Ahmedabad,
T7323,U009,2024-05-13,Expense,Health,2721.0,Upi,Bangalore,
T10231,U089,2021-12-16,Expense,Rent,2962.0,Upi,Ahmedabad,
T11570,U052,2022-09-23,Expense,Travel,8283.0,Card,Ahmedabad,
T13926,U134,2024-09-16,Expense,Utilities,3520.0,Cash,Mumbai,
T0884,U115,2021-12-16,Expense,Travel,5524.0,Bank Transfer,Hyderabad,
T5033,U119,2021-12-18,Expense,Travel,999999.0,Upi,Pune,
T8492,U101,2021-12-16,Expense,Entertainment,1800.0,Bank Transfer,Ahmedabad,
T4699,U090,2021-12-16,Income,Investment,32146.0,Cash,Delhi,
T1841,U097,2021-12-16,Income,Others,57173.0,Cash,Unknown,
T3041,U018,2021-07-11,Expense,Rent,2966.0,Cash,Bangalore,
T7693,U116,2021-12-16,Expense,Entertainment,1004.0,Bank Transfer,Kolkata,
T0071,U078,2024-04-26,Expense,Rent,6141.0,Cash,Pune,
T12197,U026,2021-12-16,Expense,Travel,9154.0,Card,Delhi,
T8563,U080,2021-12-16,Expense,Travel,9705.0,Cash,Unknown,
T6626,U049,2022-08-14,Expense,Food,2637.0,Cash,Jaipur,
T7302,U102,2021-12-16,Expense,Food,1073.0,Card,Lucknow,
T6588,U125,2021-12-16,Expense,Food,425.0,Bank Transfer,Jaipur,
T3552,U095,2024-01-21,Income,Bonus,34145.0,Bank Transfer,Hyderabad,
T1620,U040,2021-12-16,Expense,Utilities,527.0,Cash,Mumbai,
T7912,U115,2021-12-16,Expense,Savings,5195.0,Upi,Lucknow,
T3571,U064,2024-10-05,Expense,Entertainment,3143.0,Upi,Chennai,
T10957,U081,2021-12-16,Expense,Travel,2135.0,Cash,Lucknow,
T0294,U080,2021-12-16,Expense,Food,2163.0,Upi,Mumbai,
T9414,U149,2021-12-16,Expense,Rent,42078.0,Upi,Kolkata,
T10537,U079,2021-12-16,Expense,Food,2778.0,Upi,Ahmedabad,
T1125,U105,2024-11-22,Expense,Health,3929.0,Card,Unknown,
T8978,U103,2021-12-16,Income,Freelance,23852.0,Card,Lucknow,
T5936,U022,2021-06-13,Expense,Nan,6856.0,Nan,Chennai,
T3751,U103,2024-05-31,Income,Bonus,49639.0,Nan,Hyderabad,
T0626,U122,2021-12-16,Expense,Education,3150.0,Bank Transfer,Chennai,
T9500,U090,2022-06-07,Expense,Health,9408.0,Cash,Hyderabad,
T1537,U056,2021-12-16,Expense,Entertainment,4114.0,Upi,Delhi,
T9185,U117,2021-12-16,Income,Bonus,14249.0,Bank Transfer,Lucknow,
T7093,U096,2023-03-29,Expense,Travel,9681.0,Upi,Delhi,
T1990,U121,2021-12-16,Expense,Travel,3011.0,Card,Kolkata,
T4706,U150,2021-12-16,Expense,Health,3150.0,Upi,Jaipur,
T8416,U133,2021-12-16,Income,Bonus,32789.0,Cash,Bangalore,
T11932,U100,2023-02-10,Expense,Utilities,6704.0,Upi,Mumbai,
T4683,U062,2022-08-27,Expense,Travel,4427.0,Card,Chennai,
T10528,U071,2021-12-16,Expense,Entertainment,3121.0,Bank Transfer,Pune,
T10806,U149,2021-12-16,Expense,Food,3802.0,Upi,Jaipur,
T10505,U099,2021-12-16,Expense,Education,544.0,Upi,Ahmedabad,
T13682,U145,2021-12-16,Expense,Travel,9053.0,Nan,Lucknow,
T12807,U029,2021-06-05,Income,Freelance,32381.0,Bank Transfer,Chennai,
T6557,U007,2021-12-16,Expense,Travel,8305.0,Upi,Pune,
T0409,U137,2021-02-08,Expense,Utilities,8841.0,Nan,Mumbai,
T10784,U022,2021-12-16,Income,Investment,46219.0,Card,Lucknow,
T2457,U054,2021-12-16,Expense,Travel,5918.0,Cash,Mumbai,
T12395,U062,2021-12-16,Expense,Utilities,4451.0,Bank Transfer,Mumbai,
T1882,U101,2021-12-16,Expense,Education,9358.0,Card,Mumbai,
T13924,U035,2021-12-16,Expense,Rent,3569.0,Cash,Jaipur,
T13453,U110,2024-11-05,Expense,Rent,2979.0,Cash,Hyderabad,
T9836,U058,2024-09-11,Expense,Travel,1863.0,Bank Transfer,Hyderabad,
T13845,U066,2021-12-16,Expense,Rent,34984.0,Upi,Chennai,
T11381,U107,2021-12-16,Income,Investment,44031.0,Bank Transfer,Hyderabad,
T5758,U049,2021-12-16,Expense,Rent,21771.0,Upi,Chennai,
T12059,U077,2021-12-16,Income,Salary,24920.0,Upi,Chennai,
T8889,U131,2021-12-16,Expense,Savings,8861.0,Bank Transfer,Pune,
T10327,U136,2021-12-16,Expense,Health,4201.0,Bank Transfer,Kolkata,
T4967,U113,2022-02-17,Expense,Rent,47473.0,Bank Transfer,Hyderabad,
T11849,U040,2021-12-16,Income,Investment,75822.0,Cash,Mumbai,
T5167,U014,2021-12-16,Expense,Food,677.0,Bank Transfer,Mumbai,
T3952,U120,2021-12-16,Expense,Rent,43252.0,Cash,Delhi,
T5844,U086,2021-04-24,Expense,Food,2615.0,Card,Lucknow,
T13040,U009,2021-12-16,Expense,Food,2855.0,Upi,Bangalore,
T3167,U145,2021-12-16,Income,Bonus,57358.0,Cash,Delhi,
T8867,U105,2021-12-16,Expense,Nan,6348.0,Card,Mumbai,
T5926,U016,2021-12-16,Expense,Rent,4583.0,Bank Transfer,Unknown,
T13662,U129,2021-12-16,Expense,Others,4952.0,Cash,Hyderabad,
T13593,U018,2021-12-16,Expense,Others,3941.0,Bank Transfer,Mumbai,
T12216,U116,2021-12-16,Income,Others,47262.0,Bank Transfer,Kolkata,
T8335,U001,2021-12-16,Expense,Entertainment,1998.0,Upi,Lucknow,
T4933,U018,2021-12-16,Expense,Food,8124.0,Nan,Pune,
T7036,U105,2021-12-16,Expense,Travel,1326.0,Card,Unknown,
T9072,U066,2021-12-16,Expense,Savings,4328.0,Upi,Mumbai,
T8270,U081,2021-12-16,Expense,Food,276.0,Bank Transfer,Pune,
T12265,U094,2022-04-02,Expense,Utilities,4215.0,Card,Hyderabad,
T4637,U005,2021-12-16,Expense,Utilities,6316.0,Upi,Pune,
T9022,U089,2024-03-10,Expense,Rent,21376.0,Upi,Chennai,
T7016,U145,2021-01-09,Expense,Utilities,7391.0,Cash,Hyderabad,
T12109,U144,2021-12-16,Expense,Travel,2990.0,Upi,Mumbai,
T9952,U045,2022-12-24,Expense,Utilities,2230.0,Nan,Delhi,
T13401,U064,2021-09-17,Expense,Food,6197.0,Upi,Unknown,
T11100,U142,2021-12-16,Expense,Food,6502.0,Card,Jaipur,
T4072,U067,2021-12-16,Expense,Nan,6902.0,Card,Delhi,
T8303,U091,2021-12-16,Expense,Food,5918.0,Bank Transfer,Kolkata,
T9115,U060,2021-12-16,Expense,Entertainment,9939.0,Bank Transfer,Pune,
T2668,U126,2021-12-16,Expense,Rent,1518.0,Bank Transfer,Lucknow,
T1256,U035,2021-12-16,Expense,Travel,2985.0,Cash,Delhi,
T7219,U002,2024-06-28,Expense,Education,3150.0,Bank Transfer,Ahmedabad,
T7845,U014,2021-12-16,Expense,Utilities,6671.0,Upi,Ahmedabad,
T4986,U124,2023-07-04,Expense,Travel,1409.0,Upi,Chennai,
T1883,U047,2021-12-16,Expense,Edu,2497.0,Bank Transfer,Kolkata,
T7034,U108,2021-12-16,Expense,Utilities,6324.0,Card,Chennai,
T11835,U125,2021-12-16,Expense,Education,7315.0,Bank Transfer,Jaipur,
T0231,U031,2021-12-16,Expense,Utilities,7080.0,Bank Transfer,Kolkata,
T2017,U090,2022-01-14,Expense,Utilities,7821.0,Cash,Pune,
T9479,U114,2021-08-14,Expense,Rent,988.0,Upi,Unknown,
T1312,U070,2021-12-16,Income,Freelance,23504.0,Bank Transfer,Hyderabad,
T0010,U017,2021-12-16,Expense,Nan,1064.0,Cash,Ahmedabad,
T11433,U083,2021-12-16,Expense,Food,2683.0,Cash,Delhi,
T4446,U017,2021-12-16,Expense,Food,5022.0,Cash,Hyderabad,
T2782,U093,2021-04-01,Expense,Food,7849.0,Nan,Pune,
T11291,U040,2024-06-10,Income,Bonus,33565.0,Cash,Hyderabad,
T6224,U092,2021-12-16,Income,Salary,66678.0,Bank Transfer,Chennai,
T4124,U119,2021-12-16,Expense,Education,6304.0,Upi,Pune,
T10115,U091,2021-12-16,Income,Freelance,50009.0,Bank Transfer,Pune,
T3531,U134,2021-12-16,Expense,Food,5811.0,Bank Transfer,Pune,
T1066,U057,2023-02-05,Expense,Entertainment,7713.0,Upi,Pune,
T9037,U142,2021-12-16,Income,Salary,70693.0,Cash,Ahmedabad,
T12498,U012,2021-12-16,Expense,Health,2603.0,Cash,Kolkata,
T6556,U037,2021-12-16,Expense,Food,314.0,Cash,Mumbai,
T4233,U089,2024-10-30,Expense,Education,9806.0,Bank Transfer,Chennai,
T1925,U060,2023-02-04,Expense,Food,3762.0,Bank Transfer,Hyderabad,
T9678,U092,2021-12-16,Expense,Travel,9891.0,Upi,Unknown,
T3468,U143,2021-12-16,Expense,Health,6869.0,Card,Jaipur,
T2217,U113,2023-04-02,Expense,Rent,6756.0,Bank Transfer,Pune,
T7901,U028,2021-09-07,Expense,Entertainment,356.0,Bank Transfer,Jaipur,
T9324,U093,2021-10-03,Income,Others,20156.0,Cash,Pune,
T6515,U121,2024-03-16,Expense,Health,3790.0,Card,Ahmedabad,
T3401,U071,2021-12-16,Expense,Nan,6766.0,Card,Bangalore,
T2246,U061,2021-12-16,Expense,Food,3765.0,Bank Transfer,Chennai,
T10375,U013,2023-08-06,Income,Freelance,5918.0,Bank Transfer,Delhi,
T7960,U028,2021-12-16,Expense,Entertainment,4638.0,Card,Unknown,
T13793,U141,2021-12-16,Income,Freelance,11650.0,Cash,Hyderabad,
T7316,U144,2021-12-16,Expense,Utilities,5790.0,Nan,Pune,
T4875,U076,2021-12-16,Expense,Rent,12435.0,Upi,Lucknow,
T1216,U042,2021-12-16,Income,Investment,31183.0,Bank Transfer,Jaipur,
T11898,U035,2023-04-13,Expense,Food,775.0,Upi,Unknown,
T3071,U139,2021-12-16,Expense,Entertainment,8230.0,Bank Transfer,Lucknow,
T12468,U043,2021-12-16,Expense,Rent,5582.0,Upi,Ahmedabad,
T5511,U114,2021-12-16,Expense,Food,5918.0,Bank Transfer,Pune,
T5607,U093,2021-12-16,Income,Investment,73830.0,Upi,Pune,
T9770,U040,2021-12-16,Expense,Rent,23340.0,Card,Lucknow,
T11278,U009,2022-07-19,Expense,Rent,40813.0,Upi,Delhi,
T10427,U077,2024-12-31,Expense,Utilities,3414.0,Upi,Pune,
T1377,U044,2021-12-16,Expense,Food,2033.0,Upi,Mumbai,
T2469,U038,2021-12-16,Income,Bonus,44932.0,Bank Transfer,Kolkata,
T6621,U104,2021-12-16,Expense,Food,999999.0,Cash,Jaipur,
T7679,U079,2024-05-03,Expense,Education,2274.0,Cash,Hyderabad,
T8635,U039,2021-12-16,Expense,Travel,330.0,Bank Transfer,Chennai,
T4874,U123,2024-12-30,Expense,Travel,8592.0,Cash,Pune,
T3143,U025,2023-05-01,Expense,Rent,6779.0,Cash,Delhi,
T13475,U033,2021-12-16,Income,Investment,29235.0,Bank Transfer,Unknown,
T8560,U023,2021-12-16,Expense,Health,2143.0,Card,Delhi,
T8417,U089,2022-05-17,Expense,Food,4945.0,Card,Ahmedabad,
T8379,U106,2021-12-16,Expense,Entertainment,8152.0,Upi,Delhi,
